----------------------------- log1Hz20180215_0957 --------------------------
----------------------------- DAMPING --------------------------
BS:	0.598
HDG:	0.598
AWA:	0.794
AWS:	0.696
COG:	0.596
SOG:	0.596
SET:	0.950
DRIFT:	0.950
TWA True:	0.950
TWS True:	0.956
TWD True:	0.965
TWA Ground:	0.900
TWS Ground:	0.900
TWD Ground:	0.900

----------------------------- LEEWAY & PROPELLER --------------------------
BS Point 1 - BS: 2.0	 GAIN: 1.300
BS Point 2 - BS: 6.9	 GAIN: 1.200
BS Point 3 - BS: 14.1	 GAIN: 1.000
BS Point 4 - BS: 28.2	 GAIN: 0.900

----------------------------- DONGLE SETTINGS --------------------------
WIND SENSOR:	ST-60/70 Raymarine
WIND OFFSET:	-175
TWA UPWIND:	0.0,0.0,0.0,0.0,0.0,0.0
TWA REACHING:	0.0,0.0,0.0,0.0,0.0,0.0
TWA DOWNWIND:	0.0,0.0,0.0,0.0,0.0,0.0
TWS CORR Kt:	0.0,0.0,0.0,0.0,0.0,0.0
TWS CORR Angle:	140.0,140.0,140.0,140.0,140.0,140.0
BS SENSOR:	NMEA
DEPTH:	0.20
HDG SENSOR:	NMEA
HDG OFFSET:	2

----------------------------- LOG --------------------------
Date	Time	Ts	BS	AWA	AWS	HDG	TWA	TWS	TWD	WindType	SOG	COG	Lat	Lon	Set	Drift	FreezeWind	FreezeTide
15/02/18	10:34:58	2614	0.15	144	3.91	280	145	4.03	65	True	0.03	273	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:34:59	2615	0.14	141	3.98	281	142	4.09	63	True	0.02	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:00	2616	0.08	141	4.01	281	142	4.07	63	True	0.01	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:01	2617	0.05	140	4.06	281	140	4.10	61	True	0.01	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:02	2618	0.03	138	4.04	281	138	4.06	60	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:03	2619	0.02	140	4.04	281	140	4.05	61	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:04	2620	0.01	135	4.05	282	136	4.06	58	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:05	2621	0.01	137	4.08	282	137	4.08	59	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:06	2622	0.00	137	4.12	282	137	4.12	59	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:07	2623	0.00	136	4.12	283	136	4.12	59	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:08	2624	0.00	133	4.08	282	133	4.08	56	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
15/02/18	10:35:09	2625	0.00	132	4.10	282	132	4.10	55	True	0.00	272	4533.0557N	1338.5131E	-	-	NO	NO
