----------------------------- log1Hz20180215_0957_Charts --------------------------
Date	Time	Ts	GWD	GWS	TWD	TWS	SET	DRIFT	Lat	Lon
15/02/18	10:34:58	2614	60	4.55	62	5.71	-	-	4533.0557N	1338.5131E
15/02/18	10:34:59	2615	60	4.50	62	5.63	-	-	4533.0557N	1338.5131E
15/02/18	10:35:00	2616	59	4.45	62	5.57	-	-	4533.0557N	1338.5131E
15/02/18	10:35:01	2617	58	4.41	62	5.50	-	-	4533.0557N	1338.5131E
15/02/18	10:35:02	2618	57	4.37	62	5.44	-	-	4533.0557N	1338.5131E
15/02/18	10:35:03	2619	57	4.34	62	5.38	-	-	4533.0557N	1338.5131E
15/02/18	10:35:04	2620	56	4.31	62	5.32	-	-	4533.0557N	1338.5131E
15/02/18	10:35:05	2621	55	4.29	62	5.26	-	-	4533.0557N	1338.5131E
15/02/18	10:35:06	2622	55	4.27	62	5.21	-	-	4533.0557N	1338.5131E
15/02/18	10:35:07	2623	54	4.25	61	5.16	-	-	4533.0557N	1338.5131E
15/02/18	10:35:08	2624	53	4.24	61	5.12	-	-	4533.0557N	1338.5131E
15/02/18	10:35:09	2625	52	4.22	61	5.07	-	-	4533.0557N	1338.5131E
15/02/18	10:35:10	2626	52	4.21	61	5.03	-	-	4533.0557N	1338.5131E
15/02/18	10:35:11	2627	51	4.18	61	4.98	-	-	4533.0557N	1338.5131E
15/02/18	10:35:12	2628	50	4.16	60	4.93	-	-	4533.0557N	1338.5131E
15/02/18	10:35:13	2629	49	4.14	60	4.89	-	-	4533.0557N	1338.5131E
15/02/18	10:35:14	2630	49	4.11	60	4.85	-	-	4533.0557N	1338.5131E
15/02/18	10:35:15	2631	48	4.08	60	4.80	-	-	4533.0557N	1338.5131E
15/02/18	10:35:16	2632	47	4.05	60	4.75	-	-	4533.0557N	1338.5131E
15/02/18	10:35:18	2633	47	4.00	59	4.70	-	-	4533.0557N	1338.5131E
15/02/18	10:35:18	2634	46	3.97	59	4.65	-	-	4533.0557N	1338.5131E
15/02/18	10:35:19	2635	45	3.96	59	4.62	-	-	4533.0557N	1338.5131E
15/02/18	10:35:20	2636	45	3.97	59	4.60	-	-	4533.0557N	1338.5131E
15/02/18	10:35:21	2637	45	4.01	59	4.58	-	-	4533.0557N	1338.5131E
15/02/18	10:35:22	2638	45	4.04	59	4.57	-	-	4533.0557N	1338.5131E
15/02/18	10:35:24	2639	45	4.08	59	4.57	-	-	4533.0557N	1338.5131E
15/02/18	10:35:25	2640	46	4.11	59	4.56	-	-	4533.0557N	1338.5131E
15/02/18	10:35:26	2641	46	4.14	59	4.55	-	-	4533.0557N	1338.5131E
15/02/18	10:35:27	2642	47	4.17	59	4.55	-	-	4533.0557N	1338.5131E
15/02/18	10:35:28	2643	46	4.20	59	4.54	-	-	4533.0557N	1338.5131E
15/02/18	10:35:29	2644	46	4.21	59	4.53	-	-	4533.0557N	1338.5131E
15/02/18	10:35:30	2645	46	4.19	59	4.51	-	-	4533.0557N	1338.5131E
15/02/18	10:35:31	2646	46	4.16	60	4.48	-	-	4533.0557N	1338.5131E
15/02/18	10:35:32	2647	46	4.11	60	4.45	-	-	4533.0557N	1338.5131E
15/02/18	10:35:33	2648	47	4.06	60	4.41	-	-	4533.0557N	1338.5131E
15/02/18	10:35:34	2649	47	4.01	60	4.37	-	-	4533.0557N	1338.5131E
15/02/18	10:35:35	2650	47	3.95	60	4.33	-	-	4533.0557N	1338.5131E
15/02/18	10:35:36	2651	48	3.89	60	4.28	-	-	4533.0557N	1338.5131E
15/02/18	10:35:37	2652	48	3.83	60	4.24	-	-	4533.0557N	1338.5131E
15/02/18	10:35:38	2653	48	3.78	60	4.20	-	-	4533.0557N	1338.5131E
15/02/18	10:35:39	2654	48	3.75	61	4.17	-	-	4533.0557N	1338.5131E
15/02/18	10:35:40	2655	48	3.72	60	4.14	-	-	4533.0557N	1338.5131E
15/02/18	10:35:41	2656	48	3.69	60	4.11	-	-	4533.0557N	1338.5131E
15/02/18	10:35:42	2657	47	3.67	60	4.08	-	-	4533.0557N	1338.5131E
15/02/18	10:35:43	2658	47	3.64	60	4.05	-	-	4533.0557N	1338.5131E
15/02/18	10:35:44	2659	47	3.62	60	4.02	-	-	4533.0557N	1338.5131E
15/02/18	10:35:45	2660	47	3.59	61	3.99	-	-	4533.0557N	1338.5131E
15/02/18	10:35:46	2661	47	3.56	60	3.96	-	-	4533.0557N	1338.5131E
15/02/18	10:35:47	2662	47	3.53	61	3.93	-	-	4533.0557N	1338.5131E
15/02/18	10:35:48	2663	47	3.49	61	3.89	-	-	4533.0557N	1338.5131E
15/02/18	10:35:49	2664	47	3.46	61	3.86	-	-	4533.0557N	1338.5131E
15/02/18	10:35:50	2665	47	3.43	61	3.83	-	-	4533.0557N	1338.5131E
15/02/18	10:35:51	2666	46	3.40	60	3.80	-	-	4533.0557N	1338.5131E
