----------------------------- 20170422_1417_ESAPolar.log --------------------------
Yard Polar used for this file:
SuperAtax2017
Cruise-Regatta
TWS_TWA	v1	a1	v2	a2	v3	a3	v4	a4	v5	a5	v6	a6	v7	a7	v8	a8	
6	4.85	43.1	5.4	52	6.01	75	5.97	90	5.93	110	5.11	135	4.61	144	4.33	150
8	5.69	42.1	6.4	52	7.03	75	7.06	90	7.14	110	6.36	135	5.55	148	5.42	150
10	6.43	42.4	7.09	52	7.5	75	7.55	90	7.7	110	7.28	135	6.67	147	6.46	150
12	6.73	41.2	7.38	52	7.78	75	7.79	90	8.07	110	7.73	135	7.22	150	7.18	150
14	6.85	40.4	7.51	52	8.01	75	8.06	90	8.32	110	8.11	135	7.53	150	7.42	152
16	6.92	39.9	7.58	52	8.2	75	8.32	90	8.52	110	8.53	135	7.83	150	7.12	176
20	7.03	39.4	7.65	52	8.38	75	8.75	90	8.87	110	9.38	135	8.43	150	7.81	178


ESA Real Time Polar Diagram:
Polar dx
TWS	TUBS	TUWA	35 bs	twa	50 bs	twa	65 bs	twa	80 bs	twa	95 bs	twa	110 bs	twa	125 bs	twa	140 bs	twa	155 bs	twa	170 bs	twa	TDBS	TDWA
4	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
6	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
8	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
10	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
12	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
14	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
16	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
18	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
20	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
22	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
24	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
26	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
28	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
30	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
Polar sx
TWS	TUBS	TUWA	-35 bs	twa	-50 bs	twa	-65 bs	twa	-80 bs	twa	-95 bs	twa	-110 bs	twa	-125 bs	twa	-140 bs	twa	-155 bs	twa	-170 bs	twa	TDBS	TDWA
4	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
6	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
8	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
10	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
12	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
14	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
16	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
18	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
20	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
22	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	
