----------------------------- log1Hz20170311_1212 --------------------------
Date	Time	Ts	Boatspeed	AW_angle	AW_speed	Heading	TW_angle	TW_speed	TW_Dir	Ext_SOG	Ext_COG	Latitudine	Longitudine
11/03/17	12:12:20	190	5.00	42	8.90	238	75	6.17	313	5.10	236	4530.2012N	1335.0504E	
11/03/17	12:12:21	191	5.09	42	8.90	239	76	6.15	315	5.10	238	4530.2007N	1335.0486E	
11/03/17	12:12:22	192	5.10	42	9.08	241	75	6.30	315	5.20	239	4530.2002N	1335.0468E	
11/03/17	12:12:23	193	5.19	43	9.01	240	77	6.29	317	5.20	238	4530.1987N	1335.0449E	
11/03/17	12:12:24	194	5.20	43	9.00	239	77	6.29	317	5.30	238	4530.1982N	1335.0432E	
11/03/17	12:12:25	195	5.29	43	9.09	239	78	6.35	317	5.30	237	4530.1973N	1335.0417E	
11/03/17	12:12:26	196	5.21	42	9.10	240	76	6.29	316	5.20	238	4530.1968N	1335.0399E	
11/03/17	12:12:27	197	5.20	44	9.10	240	78	6.45	318	5.20	239	4530.1958N	1335.0381E	
11/03/17	12:12:28	198	5.20	44	9.10	241	78	6.46	319	5.20	238	4530.1953N	1335.0360E	
11/03/17	12:12:29	199	5.20	43	9.01	240	77	6.31	318	5.20	238	4530.1943N	1335.0341E	
11/03/17	12:12:30	200	5.11	43	8.91	240	77	6.24	317	5.10	236	4530.1938N	1335.0323E	
11/03/17	12:12:31	201	5.10	43	8.90	239	77	6.23	315	5.10	236	4530.1929N	1335.0308E	
11/03/17	12:12:32	202	4.92	42	8.99	238	74	6.28	312	4.90	237	4530.1924N	1335.0295E	
11/03/17	12:12:33	203	4.90	41	8.82	239	73	6.05	312	4.90	237	4530.1914N	1335.0280E	
11/03/17	12:12:34	204	4.90	42	8.62	239	75	5.96	314	4.90	235	4530.1909N	1335.0262E	
11/03/17	12:12:35	205	4.90	42	8.60	237	75	5.95	313	4.90	235	4530.1899N	1335.0245E	
11/03/17	12:12:36	206	4.81	42	8.51	237	75	5.89	312	4.80	233	4530.1890N	1335.0231E	
11/03/17	12:12:37	207	4.80	43	8.32	235	77	5.81	313	4.90	234	4530.1880N	1335.0219E	
11/03/17	12:12:38	208	4.80	42	8.21	235	77	5.65	312	4.80	233	4530.1875N	1335.0201E	
11/03/17	12:12:39	209	4.71	42	8.20	234	76	5.66	310	4.70	232	4530.1865N	1335.0187E	
11/03/17	12:12:40	210	4.79	42	8.20	234	77	5.64	311	4.80	232	4530.1855N	1335.0172E	
