----------------------------- log1Hz20170708_1239.log --------------------------
Date	Time	Ts	Boatspeed	AW_angle	AW_speed	Heading	TW_angle	TW_speed	TW_Dir	Ext_SOG	Ext_COG	Latitudine	Longitudine	BS_target	TWA_target	BS_polar	Type_tgt	LeewayAng	LeewayMod	SET	DRIFT
08/07/17	12:39:06	11651	5.10	346	9.40	309	-29	4.61	288	4.10	312	4540.8145N	1341.0614E	0.00	0	0.00	E	-2.05	0.13	84	1.40	
08/07/17	12:39:07	11652	4.70	350	9.30	299	-20	4.74	287	4.10	312	4540.8154N	1341.0602E	0.00	0	0.00	E	-2.36	0.19	79	2.57	
08/07/17	12:39:08	11653	4.70	350	9.30	299	-20	4.74	287	3.80	297	4540.8159N	1341.0591E	0.00	0	0.00	E	-2.44	0.20	73	3.60	
08/07/17	12:39:09	11654	4.40	350	9.30	292	-18	5.02	280	3.80	297	4540.8164N	1341.0583E	0.00	0	0.00	E	-2.44	0.19	68	2.61	
08/07/17	12:39:10	11655	4.40	354	9.20	292	-12	4.85	285	3.80	297	4540.8179N	1341.0562E	0.00	0	0.00	E	-2.42	0.19	63	1.42	
08/07/17	12:39:11	11656	4.40	354	9.20	292	-12	4.85	285	3.60	297	4540.8179N	1341.0555E	0.00	0	0.00	E	-2.43	0.19	59	0.92	
08/07/17	12:39:12	11657	4.10	356	9.00	284	-7	4.92	281	3.60	297	4540.8184N	1341.0541E	0.00	0	0.00	E	-2.49	0.18	55	0.73	
08/07/17	12:39:13	11658	4.10	356	9.00	284	-7	4.92	281	3.30	289	4540.8188N	1341.0530E	0.00	0	0.00	E	-2.53	0.18	51	0.73	
08/07/17	12:39:14	11659	3.80	356	9.00	278	-7	5.21	275	3.40	289	4540.8188N	1341.0524E	0.00	0	0.00	E	-2.54	0.18	48	0.64	
08/07/17	12:39:15	11660	3.80	359	8.80	278	-2	5.00	280	3.40	289	4540.8193N	1341.0510E	0.00	0	0.00	E	-2.53	0.17	45	0.61	
08/07/17	12:39:16	11661	3.80	359	8.80	278	-2	5.00	280	3.70	287	4540.8198N	1341.0492E	5.82	318	0.25	Y	1.87	0.12	32	0.74	
08/07/17	12:39:17	11662	3.60	2	8.20	270	4	4.61	281	3.70	287	4540.8198N	1341.0479E	5.82	318	0.25	Y	1.67	0.11	32	0.81	
08/07/17	12:39:18	11663	3.60	2	8.20	270	4	4.61	281	4.20	279	4540.8203N	1341.0465E	5.55	43	0.77	Y	1.90	0.12	31	0.88	
08/07/17	12:39:19	11664	3.70	2	8.20	257	5	4.51	268	4.30	279	4540.8203N	1341.0457E	5.17	44	1.09	Y	1.90	0.12	30	1.06	
08/07/17	12:39:20	11665	3.70	8	7.80	257	15	4.16	282	4.30	279	4540.8203N	1341.0441E	5.04	45	1.29	Y	1.92	0.12	29	1.37	
08/07/17	12:39:21	11666	3.70	8	7.80	257	15	4.16	282	4.90	264	4540.8203N	1341.0416E	5.01	45	1.73	Y	2.01	0.13	28	1.46	
08/07/17	12:39:23	11667	4.10	15	8.00	239	29	4.16	282	4.90	264	4540.8198N	1341.0394E	4.80	45	2.41	Y	2.16	0.15	27	1.52	
08/07/17	12:39:23	11668	4.10	15	8.00	239	29	4.16	282	5.00	233	4540.8193N	1341.0380E	4.89	45	3.42	Y	2.26	0.16	26	1.17	
08/07/17	12:39:24	11669	4.50	15	8.00	220	32	3.82	264	5.00	233	4540.8184N	1341.0369E	4.89	45	3.42	Y	2.28	0.17	24	0.90	
08/07/17	12:39:25	11670	4.50	25	8.20	220	50	4.53	287	5.00	233	4540.8174N	1341.0352E	5.15	44	5.16	Y	2.41	0.19	23	1.00	
08/07/17	12:39:26	11671	4.50	25	8.20	220	50	4.53	287	5.70	213	4540.8154N	1341.0330E	5.33	44	5.53	Y	2.39	0.19	22	1.02	
08/07/17	12:39:27	11672	5.00	37	8.00	202	73	4.98	268	5.70	213	4540.8140N	1341.0316E	5.68	43	6.14	Y	2.31	0.19	21	0.92	
08/07/17	12:39:28	11673	5.00	37	8.00	202	73	4.98	292	5.90	197	4540.8130N	1341.0309E	5.68	43	6.14	Y	1.36	0.12	21	0.87	
08/07/17	12:39:29	11674	5.00	37	8.00	202	73	4.98	292	5.90	197	4540.8120N	1341.0304E	5.90	42	6.47	Y	1.20	0.10	21	0.88	
08/07/17	12:39:30	11675	5.30	44	7.40	186	90	5.16	291	5.90	197	4540.8105N	1341.0295E	5.90	42	6.47	Y	1.01	0.09	21	0.80	
08/07/17	12:39:31	11676	5.30	44	7.40	186	90	5.16	291	6.10	177	4540.8081N	1341.0293E	6.03	139	6.55	Y	1.20	0.11	22	0.80	
08/07/17	12:39:32	11677	5.50	47	6.70	176	100	4.95	281	6.10	177	4540.8066N	1341.0294E	5.99	139	6.53	Y	1.52	0.14	23	0.75	
08/07/17	12:39:33	11678	5.50	47	6.70	176	100	4.95	286	6.20	173	4540.8052N	1341.0294E	5.99	139	6.53	Y	1.47	0.14	24	0.74	
08/07/17	12:39:34	11679	5.50	47	6.70	176	100	4.95	286	6.20	173	4540.8042N	1341.0293E	5.91	139	6.49	Y	1.43	0.14	25	0.71	
08/07/17	12:39:36	11680	5.80	47	6.40	170	107	4.92	285	6.20	173	4540.8027N	1341.0295E	5.75	138	6.40	Y	1.40	0.14	26	0.58	
08/07/17	12:39:36	11681	5.80	47	6.40	170	107	4.92	285	6.40	169	4540.7998N	1341.0300E	5.68	138	6.29	Y	1.37	0.14	28	0.57	
08/07/17	12:39:37	11682	6.00	47	6.40	165	109	4.99	280	6.40	169	4540.7998N	1341.0300E	5.66	138	6.21	Y	1.36	0.14	28	0.52	
08/07/17	12:39:38	11683	6.00	49	6.10	165	113	4.99	285	6.40	169	4540.7969N	1341.0312E	5.64	138	6.17	Y	1.36	0.14	28	0.55	
08/07/17	12:39:39	11684	6.00	49	6.10	165	113	4.99	285	6.60	162	4540.7959N	1341.0316E	5.69	138	6.14	Y	1.34	0.14	30	0.54	
08/07/17	12:39:40	11685	6.10	49	5.90	161	117	5.01	282	6.60	162	4540.7939N	1341.0326E	5.77	138	6.06	Y	1.32	0.14	32	0.52	
08/07/17	12:39:42	11686	6.10	49	5.90	161	117	5.01	282	6.70	156	4540.7920N	1341.0338E	5.79	138	6.01	Y	1.30	0.14	34	0.58	
08/07/17	12:39:42	11687	6.30	49	5.90	162	119	5.10	284	6.70	156	4540.7900N	1341.0345E	5.79	138	5.98	Y	1.30	0.14	37	0.59	
08/07/17	12:39:43	11688	6.30	49	5.90	162	118	5.03	281	6.70	156	4540.7881N	1341.0353E	5.79	138	5.97	Y	1.31	0.14	40	0.62	
08/07/17	12:39:44	11689	6.30	49	5.90	162	118	5.03	281	6.80	159	4540.7871N	1341.0358E	5.81	138	6.01	Y	1.33	0.15	43	0.60	
