 can0:c0328200222282b6,1fd02 - !2 [8] 43190087 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 44190087 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 45190087 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 46190087 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 47190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 48190079 67faffff
 can0:c03284002fb0c000,0ff32 - !3 [8] 7d999c20 696fffff
 can0:c03284002fb04000,1f10d - !2 [8] ff07ff7f ff7fffff
 can0:c0328200222282b6,1fd02 - !2 [8] 49190079 67faffff
 can0:c03284002fb00000,1f119 - !3 [8] ffff7fff 7fff7fff
 can0:c03284032fb08000,1f119 - !3 [8] ffff7fd0 a2ff7fff
 can0:c078be002fb00000,1f503 - !2 [8] ffffffff ffffffff
 can0:c0789b002fb00000,1f503 - !2 [8] 000000ff ffffffff
 can0:c078be002fb00000,1fd02 - !2 [8] ffffffff fff8ffff
 can0:c0aa82002fb04000,1fd02 - !2 [8] 001900ac 78faffff
 can0:c078be002fb00000,1ff08 - !7 [8] a0127d99 7e200000
 can0:c078be002fb00000,1ff08 - !7 [8] a1322100 00332145
 can0:c078be002fb00000,1ff08 - !7 [8] a21b1d21 0000ffff
 can0:c0328200222282b6,1fd02 - !2 [8] 4a190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 4b190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 4c190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 4d190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 4e190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 4f190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 50190079 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 51190092 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 52190092 67faffff
 can0:c03284002fb04000,1f10d - !2 [8] ff07ff7f ff7fffff
 can0:c0328200222282b6,1fd02 - !2 [8] 53190092 67faffff
 can0:c03284002fb00000,1f119 - !3 [8] ffff7fff 7fff7fff
 can0:c078be002fb00000,1fd02 - !2 [8] ffffffff fffaffff
 can0:c0328200222282b6,1fd02 - !2 [8] 54190092 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 55190092 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 56190092 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 57190092 67faffff
 can0:c078be002fb00000,1fd02 - !2 [8] ffffffff fffbffff
 can0:c0aa82002fb04000,1fd02 - !2 [8] 001900ac 78faffff
 can0:c078be002fb00000,1ff08 - !7 [8] c0687d99 64200000
 can0:c0328200222282b6,1fd02 - !2 [8] 58190092 67faffff
 can0:c078be002fb00000,1ff08 - !7 [8] c10d2100 00692000
 can0:c078be002fb00000,1ff08 - !7 [8] c200d320 00008140
 can0:c078be002fb00000,1ff08 - !7 [8] c3000000 000a2100
 can0:c078be002fb00000,1ff08 - !7 [8] c4000c21 00003520
 can0:c078be002fb00000,1ff08 - !7 [8] c52ada14 41ce6786
 can0:c078be002fb00000,1ff08 - !7 [8] c61c1541 43e13908
 can0:c078be002fb00000,1ff08 - !7 [8] c7164136 6a861c17
 can0:c078be002fb00000,1ff08 - !7 [8] c84156df 39081021
 can0:c078be002fb00000,1ff08 - !7 [8] c972677d 20720053
 can0:c078be002fb00000,1ff08 - !7 [8] ca20451b 7540206c
 can0:c078be002fb00000,1ff08 - !7 [8] cbfbff09 41000000
 can0:c078be002fb00000,1ff08 - !7 [8] cc000b41 00000000
 can0:c078be002fb00000,1ff08 - !7 [8] cdd04000 0000001d
 can0:c078be002fb00000,1ff08 - !7 [8] ce210000 9d20ac78
 can0:c0328200222282b6,1fd02 - !2 [8] 59190092 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 5a190092 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 5b19007c 67faffff
 can0:c0328200222282b6,1fd02 - !2 [8] 5c19007c 67faffff
